code;asdad
4026330110GR420WH/GN;0,00
4026340110GR480ANTH/BK;0,00
4026340210GR440ANTH/BK;0,00
4026340210GR480ANTH/BK;0,00
4026349GR480ANTH/BK;0,00
40263710TGR440BK/UD;0,00
4026429GR460WH;1,00
4026429GR520WH;0,00
40285010-1GR460PINK;0,00
40285011-7GR400BK;2,00
40285011-7GR400PINK;3,00
40285011-7GR400WH;0,00
40285011-7GR460BK;0,00
4028699-8RGR460BK;1,00
40287010GR540WH;1,00
40287010WGR400WH;0,00
40287110GR470ANTH;0,00
40287110LGR400ANTH;0,00
40287110WGR400ANTH;0,00
40287211GR420WH;0,00
40287211GR470WH;0,00
40287211GR530WH;0,00
4028729GR580WH/BU;0,00
40287310GR500BK MATT;0,00
40287310GR540BK MATT;1,00
4028739GR500BK;0,00
40287411GR420BK MATT;0,00
40287411GR470BK MATT;0,00
40287411LGR400BK MATT;0,00
40287411LGR460BK MATT;0,00
4028749GR580WH/OLV;-1,00
4028810110GR580ANTH/RD;0,00
4028810110LGR400ANTH/RD;0,00
4028810110LGR440ANTH/RD;0,00
4028810310GR460CH/WH;0,00
4028810310LGR400CH/WH;0,00
40288111-DGR420TIT;0,00
40288111-DGR500TIT;-1,00
40288111GR460SVR;0,00
40288111GR500SVR;0,00
4028819-DGR580SVR/BK;0,00
4028820210GR540BK/GN;0,00
4028830110GR460BK MATT;0,00
4028830110GR540BK MATT;0,00
4028898XP520WH/BK;0,00
4028959GR520WH/RD;0,00
4028968500BK;0,00
4028969GR500BK/WH;0,00
4028996GR520;0,00
0126105410;1,00
1040CLA860229;1,00
2150OUT991509;0,00
1512121751AV;88,00
151421251AV;46,00
151621251AV;45,00
151821251AV;50,00
152021251AV;238,00
152021251DV;0,00
152021252252AV;42,00
152021252AVQ;0,00
15241381DV;0,00
15241751AV;0,00
152421251AV;237,00
15261381AV;15,00
15261751AV;73,00
15261751DV;0,00
152621250732AV2;0,00
152621250732FV1;0,00
152621251AV;545,00
152621251DV;0,00
152621251FV;88,00
152621251FV1;6,00
152621252AVQ;0,00
15262752252AV;0,00
15262752252FV1;0,00
15271141DV;-2,00
15291902302FV1;14,00
15700230732FV2;0,00
15700231FV;34,00
15700231FV1;89,00
15700231FV2;9,00
15700431AV;119,00
15700431FV;43,00
1612175132WH;-1,00
161217549;25,00
1614212550;21,00
1614212550WH;19,00
16162125846;20,00
16162125846WH;0,00
16162125905WH;8,00
1618195817;14,00
16201752127;1,00
1620195841;0,00
1620225907;0,00
1624138192;6,00
1624138192GY;5,00
16241752127;8,00
1624195838;2,00
1624195849;34,00
1626138192;6,00
1626150154;15,00
16261752127;0,00
1626195849;43,00
1626195879;-1,00
1626210901F3;1,00
1626210902R3;0,00
162711434GW;9,00
1670028176GW;11,00
1670035198;0,00
1670035935;11,00
1670035935RT;-1,00
1670038830;11,00
1670038830RT;0,00
16P261501029KV6;0,00
16P261951047KV;2,00
16P26200942KV12;0,00
16P262101010KVTL;0,00
16P262101030KV12;0,00
16P262101047KV;0,00
16P26230905;0,00
16P700231018KV;0,00
16P700231081KVBK6;0,00
16P70023196KV;0,00
16P700321029KV6;0,00
MGR0140177;1,00
MGR0321406-1;0,00
MGR0721214;1,00
MGR0721304;4,00
MGR0721340;4,00
MGR0721643;2,00
MGR0722547;0,00
094608;0,00
111089;1,00
125007;10,00
125193;26,00
219523;1,00
364188;0,00
402808;4,00
